term,count
coronavirus,40537027
covid,17408377
covid19,16664730
19,16650853
people,4477394
amp,3987264
via,3717459
trump,3394517
new,3362654
pandemic,3354815
cases,3242137
us,3111972
virus,2994585
china,2970539
news,2418196
like,2247750
get,2176204
one,2060200
health,1997572
deaths,1867845
time,1864097
world,1833374
di,1807756
lockdown,1743745
si,1723993
000,1674389
crisis,1668828
help,1644329
home,1585012
2020,1569852
need,1566439
realdonaldtrump,1510406
know,1493141
il,1492212
would,1489037
may,1450331
wuhan,1414181
et,1368476
casos,1363505
please,1356889
corona,1339846
death,1335574
could,1334689
da,1303533
go,1283426
due,1280895
government,1275574
see,1262515
day,1230096
covid_19,1223025
says,1212350
des,1203727
outbreak,1192340
first,1187854
work,1179141
na,1175768
going,1166365
good,1162684
many,1160898
test,1158474
spread,1148447
positive,1142112
today,1139498
still,1135953
stay,1131948
take,1118657
die,1112642
du,1111532
per,1107386
even,1097750
state,1092345
est,1049351
country,1035712
back,1031982
think,1016203
patients,1006057
make,988996
testing,988094
uk,983033
total,974659
live,973662
10,970432
care,954461
response,953931
right,951956
social,947427
re,931086
also,918384
well,907004
let,903880
hospital,899729
support,894994
pour,892744
read,889093
said,886448
say,872774
india,862129
stop,859054
want,858933
the,856320
pandemia,852943
way,852515
president,847413
really,821728
public,817030
fight,807164
workers,781881
global,780849
much,780653
covidー19,777444
times,761901
days,755518
keep,752272
latest,746267
youtube,742273
non,741078
great,738103
tests,738070
vaccine,727698
come,726728
confirmed,725881
last,724191
em,723998
case,723896
20,722726
got,721744
must,714208
safe,712280
pas,708679
video,707547
amid,703795
dan,703051
everyone,701351
business,697500
update,690911
com,689674
every,686313
daily,684181
chinese,684061
year,683683
life,680449
number,676539
man,673806
two,668289
quarantine,665717
dr,663177
media,661697
tested,655770
real,650358
não,648488
100,647219
face,644943
economy,643766
data,641150
week,636804
au,634966
americans,634453
medical,633287
gt,630951
america,630764
states,629246
look,627243
vía,625988
thank,622456
free,618723
hope,611213
24,610610
usa,609892
risk,608571
flu,607540
une,605716
use,605196
lives,604627
million,603796
gobierno,600413
salud,595008
post,594610
died,590945
made,586717
mais,586602
never,580388
thanks,577932
since,572758
working,570245
mundo,568956
30,567730
money,567245
masks,564798
getting,564662
país,564608
family,564423
ser,562564
around,560884
another,560366
next,556568
va,549836
sur,547879
better,544794
updates,542305
gente,539421
to,537913
eu,536145
house,534934
twitter,533392
true,532740
che,531307
infected,531100
qui,524632
watch,523927
god,523740
york,523561
countries,522212
end,520871
open,520153
ca,518328
weeks,516950
impact,515234
italy,514875
plan,514500
15,510147
best,510015
cuarentena,509884
check,509478
thing,507601
long,506777
disease,506619
dans,506415
give,499825
personas,497894
already,494460
call,493270
sa,490824
online,489751
plus,486922
casa,486293
ne,483708
11,483523
ve,480604
report,479650
mask,479191
without,476828
information,474538
love,473973
coronaviruspandemic,473749
rate,473014
symptoms,467241
toll,464763
12,463289
food,462032
article,461973
done,460877
app,460340
yet,459024
in,458668
city,458021
show,457468
april,456660
big,456036
community,451508
away,450616
put,449585
distancing,449316
anyone,447903
reported,447302
find,445047
far,444201
protect,442213
numbers,441708
um,441018
emergency,440956
job,440759
ce,440017
needs,439900
things,439814
je,438194
stayhome,437015
part,436645
14,436424
taking,434790
years,433052
ahora,432912
bill,432762
person,432589
solo,432563
travel,432491
hoy,431434
doctors,430805
sure,430154
staff,428542
top,427759
france,427419
situation,423403
old,421682
important,421397
dos,420567
reports,417512
believe,417040
yang,416601
someone,414654
something,411071
start,409620
might,408271
american,408262
trying,406872
control,406495
national,406096
pm,404917
cnn,404641
bad,403846
county,403605
medidas,402729
españa,401952
change,401542
cdc,401255
caso,401210
van,400517
nothing,400260
months,399930
covid2019,399711
high,399565
breaking,399523
der,395824
hit,395725
sick,395550
rt,395154
par,394755
making,394523
economic,394080
shit,393423
día,393067
story,392918
using,390945
white,390788
march,390534
coming,390455
mas,389958
de,387996
south,387109
place,387086
ever,385922
together,385118
50,384072
self,383277
others,382867
and,381852
share,381563
local,380719
pay,380649
así,379483
bien,379426
children,378591
dead,377403
tell,377164
govt,376294
relief,376272
enough,376026
brasil,374202
businesses,373141
human,370110
yes,370072
follow,368482
full,366522
hospitals,363680
italia,363101
vous,360729
oh,359731
cause,359420
contact,358335
treatment,356341
doctor,355210
order,355024
team,352356
healthcare,351295
fuck,349824
presidente,349240
school,347611
save,346406
across,346288
nuevos,346258
muertos,346010
saying,345998
police,345500
officials,344422
soon,344173
coronavirusoutbreak,344117
measures,343262
bbc,341732
everything,341429
18,339999
lot,339476
point,339274
infection,338786
system,338668
nhs,337562
das,337156
und,337104
hard,336936
coronavírus,336157
feel,334998
experts,334218
hands,334156
market,333690
continue,333615
fake,333403
ai,333161
puede,332878
study,330158
always,330111
spreading,329417
mil,329273
कर,327800
close,327105
link,326940
possible,325917
sign,325908
untuk,325440
research,325399
least,324054
actually,323265
25,321460
normal,321197
join,319735
it,319299
hacer,318930
13,318864
gov,318585
cure,318336
no,317061
of,316773
future,316758
ll,316006
minister,315182
ver,314980
méxico,314746
muertes,314155
second,313624
population,313062
month,312935
thought,310420
info,309994
ini,309960
maybe,309533
anything,308501
días,308166
2019,307922
less,307106
patient,306584
novel,306092
this,305358
lost,303172
wrong,303159
qu,301817
cómo,300235
told,300185
used,298390
war,298067
early,297379
kill,297187
called,297101
el,295799
recovered,295217
small,294352
homes,293667
students,292180
oms,292085
nous,291842
fucking,291182
shows,290047
restrictions,289964
whole,289667
looking,289485
fear,289390
etc,288877
related,288630
16,288474
sars,288323
little,288089
personal,287424
17,286783
hours,286676
science,286122
avec,285983
friends,285060
hace,284735
uma,284465
air,284245
safety,284170
likely,282832
dying,281560
learn,281383
united,280783
including,280523
ago,280467
ou,279929
closed,279639
la,276988
truth,276682
makes,276465
governor,276312
gop,276253
drug,275480
questions,275304
federal,275233
worse,275218
stayathome,275174
het,274776
nation,274353
service,274084
nuevo,273201
fact,273119
africa,272828
europe,272650
seen,272452
found,271715
menos,271608
force,271341
schools,270184
quedateencasa,270013
black,269175
services,269054
canada,268240
iran,268235
21,267494
act,267404
advice,266485
donald,265408
three,265291
left,264706
tweet,262627
40,262626
remember,262624
kids,261527
mean,261356
johnson,261188
available,261037
families,259878
pacientes,258624
society,257579
en,257535
action,257187
essential,256893
gracias,256645
question,256636
current,256464
ppe,256437
we,255186
understand,254215
fighting,253172
fauci,253134
leaders,252795
affected,252785
nigeria,252369
wait,252156
contagios,250932
boris,250849
recovery,250447
despite,250430
millions,249639
mayor,249497
500,249469
korea,249394
cas,249217
on,249181
you,249028
different,248698
shut,248605
talk,248464
thousands,248426
tem,248378
vida,247672
hear,247449
infections,247183
party,247107
prevent,246893
hand,246585
confinement,246359
sont,245493
behind,245351
citizens,245160
ask,244708
idea,243903
become,243638
vote,243571
else,243479
industry,243135
is,242927
australia,242918
aquí,242699
positivo,242631
pra,242608
california,241491
listen,241431
potus,241419
set,241374
gon,240743
seems,240686
fallecidos,240322
stupid,240072
companies,239750
isolation,239685
leadership,238923
gets,238659
kita,238513
nursing,238296
started,238254
dies,238171
staysafe,236962
press,236881
años,236773
60,236677
instead,236349
democrats,236191
group,236059
narendramodi,235969
anti,235831
based,235643
increase,235122
line,234947
fears,234875
wants,234638
japan,234160
try,233873
administration,233240
leave,232822
able,232719
political,232682
venezuela,232321
needed,232193
low,231832
ok,231638
employees,231564
all,231345
problem,231280
worst,231153
deal,230457
yg,230347
00,230174
wo,230115
पर,229964
dengan,229734
rise,229704
florida,229487
cada,229082
ng,228292
thread,228263
serious,227101
contagio,226944
means,226924
22,226639
scientists,226013
confirmados,225859
provide,225613
lol,225556
tv,225540
taken,225323
hi,224893
power,224785
visit,224529
lab,223558
reason,223368
reopen,223127
talking,222494
mal,222450
ça,222336
women,222242
sir,222202
argentina,222037
wear,221971
office,221448
sad,221174
general,220668
given,220646
ready,220612
company,219104
रह,218557
according,218451
almost,218223
hoax,217702
for,217203
past,216582
members,216107
outside,215755
jobs,215646
rest,215606
href,215246
threat,215024
rel,215015
wow,214901
interesting,214858
primer,214688
número,214516
morning,214470
vez,214437
probably,214267
nofollow,214096
fund,213859
helping,213396
issues,213169
dice,212784
happy,212671
mejor,212555
petition,212378
official,212212
deadly,212059
panic,211807
blame,211107
im,210751
law,210523
efforts,210323
web,210035
aux,209898
lies,209771
financial,208891
rules,208876
front,208763
return,208742
sense,207977
información,207657
que,207375
bolsonaro,207148
poor,206528
200,206405
hey,206304
plans,206277
looks,206196
dia,205863
killed,205621
23,205518
seriously,205104
message,204996
name,204610
socialdistancing,204605
facebook,203882
came,203805
play,203805
dalam,203599
living,203387
contre,203282
yesterday,203229
vulnerable,203181
key,203115
epidemic,202989
80,201793
28,201649
buy,200427
nyc,200093
especially,199841
27,199377
crise,199305
dangerous,198946
international,198907
results,198651
mass,198611
tan,198596
concerns,198533
evidence,198439
demand,198438
ist,198410
residents,198347
casi,198182
following,197853
ke,197823
ang,197673
happen,197642
mental,197310
course,197050
worldwide,197043
países,196959
moment,196889
claims,196499
26,196445
vai,196115
dari,196059
calls,195941
ways,195731
healthy,195194
horas,195155
single,195132
borisjohnson,195077
comes,194980
nurses,194831
resources,194685
run,194655
ils,194493
san,193997
vamos,193647
list,193528
foxnews,193337
move,193129
pruebas,193108
millones,192776
un,192669
gates,192530
though,192387
heart,192246
guys,192169
zero,191931
fox,191856
access,191741
vs,191673
critical,191624
leader,191185
cuomo,190719
caused,190584
stock,190367
washington,190323
source,190038
और,190035
chief,189724
avoid,189650
bring,189273
hold,189216
briefing,189001
issue,188990
indonesia,188918
ont,188746
guy,187932
history,187812
among,187770
calling,187751
tener,187138
took,186788
higher,186510
germany,186494
ao,186433
giving,186422
digital,186193
favor,186100
went,185475
pa,185457
virtual,184950
noticias,184846
stimulus,184760
aid,184393
google,184191
ones,184102
area,184093
sono,184005
level,183942
reporting,183844
parte,183834
immunity,183726
woman,183695
negative,183636
billion,183198
della,183159
matter,183149
funding,182955
den,182928
pneumonia,182854
situación,182593
mundial,182378
thinking,182240
70,182176
ppl,182054
sector,181874
wonder,181592
frente,181511
spain,181341
finally,181014
31,180798
nytimes,180566
policy,180277
age,179753
blood,179744
common,179676
warns,178430
momento,178263
goes,178250
biden,178213
evitar,178158
special,177957
trust,177824
clear,177796
university,177504
send,177487
towards,177380
sorry,177061
después,176455
season,176390
coronavirusupdate,176299
lead,176182
parents,176031
announced,175524
details,175398
major,175145
light,175109
head,175088
infectados,174943
penyebaran,174913
huge,174771
happening,174571
hell,174313
cut,174119
date,174104
tiempo,173930
pakistan,173260
sent,173231
monday,173174
ny,173158
russia,173061
website,173032
dont,173010
facts,172964
kind,172562
inside,172449
bir,172388
half,171749
late,171713
congress,171403
center,171364
pass,171057
já,170642
killing,170472
friday,169772
cover,169572
continues,169451
heard,169394
madrid,169209
só,169201
asked,169177
takes,168634
reuters,168626
body,168381
fall,168362
mit,168015
obama,167855
causa,167804
jesus,167770
orders,167763
hate,167399
up,167263
donate,166858
médicos,166658
wuhanvirus,166440
night,166419
task,166349
comment,166244
cruise,166191
politics,166059
release,166015
security,165824
emergencia,165770
tout,165738
immune,165725
imagine,165601
colombia,165403
stand,165374
election,165373
guess,165040
mind,165026
masyarakat,164983
ada,164965
at,164778
ship,164608
lack,164520
knew,164321
mr,164062
tips,163745
damn,163496
tomorrow,162997
fait,162897
handling,162566
that,162504
agree,162474
viral,162364
supply,162045
entire,161981
expert,161961
amazing,161809
polri,161787
pmoindia,161350
faire,161276
treat,160939
nicht,160888
cara,160849
kits,160233
markets,159662
bu,159623
ass,159378
indian,159026
ir,158663
met,158492
supplies,158060
game,157701
er,157611
5g,157384
zu,157281
être,157194
slow,156399
mata,155628
wish,154977
03,154545
wash,153960
ta,153675
cancelled,152347
04,149832
package,149573
spreads,144390
hydroxychloroquine,100409
